"Runing time","MQ-8","MQ-9","Moisture","UV","Humidity","Temperature","Pressure","Approx Altitude","pH"
"46 "," 272.48 "," 293.98 "," 44.29 "," 72.53 "," 85.90 "," 23.40 "," 1013.64 "," 312.29 "," 5.46"
"47 "," 272.22 "," 293.86 "," 44.31 "," 72.63 "," 86.00 "," 23.50 "," 1013.67 "," 312.11 "," 5.46"
"48 "," 272.02 "," 293.99 "," 44.14 "," 72.79 "," 86.00 "," 23.50 "," 1013.64 "," 312.22 "," 5.46"
"48 "," 272.36 "," 294.00 "," 44.33 "," 73.02 "," 86.00 "," 23.50 "," 1013.64 "," 312.26 "," 5.46"
"49 "," 272.83 "," 294.34 "," 44.35 "," 72.95 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.46"
"50 "," 272.17 "," 293.99 "," 44.09 "," 72.92 "," 85.90 "," 23.50 "," 1013.69 "," 311.88 "," 5.46"
"51 "," 272.58 "," 294.01 "," 44.30 "," 73.13 "," 85.90 "," 23.50 "," 1013.67 "," 311.99 "," 5.47"
"52 "," 272.01 "," 293.25 "," 44.04 "," 72.93 "," 85.90 "," 23.50 "," 1013.66 "," 312.12 "," 5.47"
"53 "," 271.80 "," 293.00 "," 44.14 "," 72.90 "," 85.90 "," 23.50 "," 1013.66 "," 311.85 "," 5.47"
"54 "," 271.00 "," 292.28 "," 43.98 "," 72.72 "," 85.90 "," 23.50 "," 1013.67 "," 312.01 "," 5.46"
"55 "," 270.87 "," 292.08 "," 44.00 "," 72.91 "," 85.80 "," 23.40 "," 1013.66 "," 312.11 "," 5.46"
"55 "," 270.98 "," 292.87 "," 44.11 "," 73.07 "," 85.80 "," 23.40 "," 1013.66 "," 312.06 "," 5.46"
"56 "," 270.52 "," 292.15 "," 43.98 "," 73.15 "," 85.80 "," 23.40 "," 1013.66 "," 312.11 "," 5.46"
"57 "," 270.00 "," 291.94 "," 43.99 "," 73.37 "," 85.90 "," 23.50 "," 1013.66 "," 312.12 "," 5.46"
"58 "," 268.94 "," 290.51 "," 43.88 "," 73.10 "," 85.90 "," 23.50 "," 1013.66 "," 312.08 "," 5.46"
"59 "," 268.00 "," 290.00 "," 43.90 "," 73.15 "," 85.90 "," 23.50 "," 1013.68 "," 312.07 "," 5.46"
"60 "," 266.92 "," 288.00 "," 43.71 "," 72.98 "," 85.90 "," 23.50 "," 1013.66 "," 312.11 "," 5.46"
"61 "," 266.09 "," 288.00 "," 43.81 "," 73.11 "," 85.90 "," 23.50 "," 1013.65 "," 312.14 "," 5.45"
"61 "," 266.95 "," 288.99 "," 43.85 "," 73.40 "," 85.90 "," 23.50 "," 1013.65 "," 312.16 "," 5.45"
"62 "," 266.80 "," 289.00 "," 43.78 "," 73.58 "," 85.80 "," 23.50 "," 1013.64 "," 312.23 "," 5.45"
"63 "," 266.21 "," 288.92 "," 43.88 "," 73.79 "," 85.80 "," 23.50 "," 1013.64 "," 312.24 "," 5.45"
"64 "," 266.00 "," 288.62 "," 43.79 "," 73.76 "," 85.80 "," 23.50 "," 1013.66 "," 312.12 "," 5.45"
"65 "," 265.88 "," 288.73 "," 43.84 "," 73.99 "," 85.70 "," 23.40 "," 1013.68 "," 311.89 "," 5.44"
"66 "," 262.98 "," 285.27 "," 43.18 "," 73.25 "," 85.70 "," 23.40 "," 1013.68 "," 311.96 "," 5.44"
"67 "," 260.99 "," 283.85 "," 43.03 "," 72.91 "," 85.70 "," 23.40 "," 1013.66 "," 312.06 "," 5.44"
"68 "," 260.57 "," 283.99 "," 43.05 "," 73.08 "," 85.80 "," 23.50 "," 1013.67 "," 312.03 "," 5.43"
"68 "," 262.03 "," 286.52 "," 43.21 "," 73.73 "," 85.80 "," 23.50 "," 1013.65 "," 312.16 "," 5.43"
"69 "," 260.96 "," 285.55 "," 43.44 "," 73.88 "," 85.80 "," 23.50 "," 1013.65 "," 312.21 "," 5.43"
"70 "," 260.57 "," 285.25 "," 43.27 "," 73.97 "," 85.80 "," 23.50 "," 1013.67 "," 312.00 "," 5.42"
"71 "," 260.17 "," 285.96 "," 43.42 "," 74.23 "," 85.80 "," 23.50 "," 1013.64 "," 312.23 "," 5.42"
"72 "," 260.05 "," 286.00 "," 43.28 "," 73.82 "," 85.80 "," 23.50 "," 1013.65 "," 312.21 "," 5.42"
"73 "," 260.09 "," 286.51 "," 43.39 "," 73.94 "," 85.80 "," 23.50 "," 1013.66 "," 312.05 "," 5.41"
"74 "," 260.00 "," 286.91 "," 43.34 "," 73.92 "," 85.80 "," 23.50 "," 1013.64 "," 312.27 "," 5.41"
"75 "," 260.05 "," 287.00 "," 43.38 "," 74.05 "," 85.80 "," 23.50 "," 1013.67 "," 312.00 "," 5.41"
"75 "," 260.44 "," 287.32 "," 43.52 "," 74.12 "," 85.70 "," 23.40 "," 1013.66 "," 312.12 "," 5.41"
"76 "," 260.59 "," 287.63 "," 43.46 "," 74.19 "," 85.70 "," 23.40 "," 1013.67 "," 311.99 "," 5.41"
"77 "," 260.84 "," 287.56 "," 43.49 "," 74.46 "," 85.70 "," 23.40 "," 1013.69 "," 311.83 "," 5.40"
"78 "," 260.38 "," 287.58 "," 43.42 "," 74.74 "," 85.80 "," 23.50 "," 1013.67 "," 312.04 "," 5.40"
"79 "," 260.81 "," 288.00 "," 43.58 "," 75.04 "," 85.80 "," 23.50 "," 1013.67 "," 312.00 "," 5.40"
"80 "," 261.02 "," 288.68 "," 43.57 "," 75.42 "," 85.80 "," 23.50 "," 1013.65 "," 312.13 "," 5.40"
"81 "," 261.04 "," 288.92 "," 43.62 "," 75.81 "," 85.90 "," 23.50 "," 1013.64 "," 312.23 "," 5.39"
"81 "," 260.78 "," 288.00 "," 43.38 "," 75.91 "," 85.90 "," 23.50 "," 1013.66 "," 312.10 "," 5.39"
"82 "," 260.11 "," 287.03 "," 43.25 "," 75.99 "," 85.90 "," 23.50 "," 1013.66 "," 312.07 "," 5.39"
"83 "," 259.43 "," 287.05 "," 43.38 "," 76.70 "," 85.90 "," 23.50 "," 1013.67 "," 312.00 "," 5.38"
"84 "," 260.27 "," 288.15 "," 43.41 "," 77.75 "," 85.90 "," 23.50 "," 1013.68 "," 311.95 "," 5.38"
"85 "," 259.00 "," 286.85 "," 43.17 "," 78.52 "," 85.90 "," 23.50 "," 1013.66 "," 312.06 "," 5.38"
"86 "," 259.73 "," 287.45 "," 43.27 "," 80.65 "," 85.90 "," 23.50 "," 1013.68 "," 311.95 "," 5.37"
"87 "," 259.08 "," 287.19 "," 43.42 "," 82.44 "," 85.90 "," 23.50 "," 1013.67 "," 311.98 "," 5.37"
"88 "," 257.82 "," 285.82 "," 43.11 "," 86.12 "," 85.90 "," 23.50 "," 1013.69 "," 311.87 "," 5.37"
"88 "," 248.37 "," 274.79 "," 41.61 "," 90.55 "," 85.90 "," 23.50 "," 1013.66 "," 312.05 "," 5.36"
"89 "," 249.39 "," 278.17 "," 42.10 "," 96.53 "," 85.90 "," 23.50 "," 1013.69 "," 311.83 "," 5.36"
"90 "," 262.12 "," 294.45 "," 44.30 "," 78.77 "," 85.90 "," 23.50 "," 1013.65 "," 312.13 "," 5.36"
"91 "," 254.72 "," 283.64 "," 42.52 "," 76.40 "," 85.90 "," 23.50 "," 1013.67 "," 312.01 "," 5.35"
"92 "," 255.04 "," 282.89 "," 42.31 "," 74.79 "," 85.90 "," 23.50 "," 1013.66 "," 312.07 "," 5.35"
"93 "," 253.07 "," 282.73 "," 43.20 "," 80.14 "," 85.90 "," 23.50 "," 1013.66 "," 312.08 "," 5.35"
"94 "," 257.88 "," 287.23 "," 43.03 "," 79.48 "," 85.90 "," 23.50 "," 1013.69 "," 311.87 "," 5.35"
"95 "," 252.68 "," 281.99 "," 42.56 "," 86.03 "," 85.90 "," 23.50 "," 1013.68 "," 311.91 "," 5.35"
"95 "," 251.99 "," 282.50 "," 42.64 "," 58.28 "," 85.90 "," 23.50 "," 1013.66 "," 312.08 "," 5.34"
"96 "," 252.66 "," 281.61 "," 42.75 "," 58.53 "," 85.90 "," 23.50 "," 1013.64 "," 312.24 "," 5.34"
"97 "," 254.33 "," 284.99 "," 43.00 "," 59.00 "," 85.90 "," 23.50 "," 1013.64 "," 312.30 "," 5.33"
"98 "," 254.81 "," 285.66 "," 42.94 "," 59.07 "," 85.90 "," 23.50 "," 1013.65 "," 312.19 "," 5.33"
"99 "," 249.03 "," 287.75 "," 42.32 "," 57.09 "," 85.80 "," 23.40 "," 1013.66 "," 312.10 "," 5.32"
"100 "," 255.78 "," 286.58 "," 43.08 "," 59.33 "," 85.80 "," 23.40 "," 1013.63 "," 312.32 "," 5.32"
"101 "," 250.50 "," 282.04 "," 42.41 "," 58.25 "," 85.80 "," 23.40 "," 1013.68 "," 311.97 "," 5.32"
"102 "," 257.94 "," 289.02 "," 43.24 "," 59.43 "," 86.00 "," 23.50 "," 1013.65 "," 312.17 "," 5.32"
"102 "," 264.02 "," 297.08 "," 44.67 "," 61.70 "," 86.00 "," 23.50 "," 1013.65 "," 312.19 "," 5.32"
"103 "," 251.46 "," 279.74 "," 42.18 "," 57.97 "," 86.00 "," 23.50 "," 1013.64 "," 312.26 "," 5.32"
"104 "," 256.71 "," 285.55 "," 43.39 "," 59.89 "," 86.00 "," 23.50 "," 1013.64 "," 312.26 "," 5.32"
"105 "," 250.98 "," 279.73 "," 42.46 "," 58.12 "," 86.00 "," 23.50 "," 1013.66 "," 312.12 "," 5.32"
"106 "," 252.13 "," 280.81 "," 42.67 "," 58.14 "," 86.00 "," 23.50 "," 1013.64 "," 312.26 "," 5.31"
"107 "," 253.95 "," 287.43 "," 43.09 "," 58.99 "," 86.00 "," 23.50 "," 1013.65 "," 312.13 "," 5.32"
"108 "," 251.86 "," 283.44 "," 42.58 "," 58.42 "," 86.00 "," 23.50 "," 1013.63 "," 312.32 "," 5.31"
"109 "," 253.08 "," 281.66 "," 42.69 "," 57.98 "," 86.00 "," 23.50 "," 1013.67 "," 312.04 "," 5.31"
"109 "," 251.65 "," 282.16 "," 42.81 "," 58.39 "," 86.00 "," 23.50 "," 1013.66 "," 312.09 "," 5.31"
"110 "," 250.33 "," 280.75 "," 42.34 "," 58.03 "," 86.00 "," 23.50 "," 1013.69 "," 311.83 "," 5.30"
"111 "," 248.08 "," 278.28 "," 42.66 "," 58.19 "," 86.00 "," 23.50 "," 1013.63 "," 312.31 "," 5.30"
"112 "," 250.18 "," 282.49 "," 42.55 "," 58.57 "," 85.90 "," 23.50 "," 1013.69 "," 311.85 "," 5.30"
"113 "," 256.15 "," 289.28 "," 43.57 "," 59.96 "," 85.90 "," 23.50 "," 1013.68 "," 311.94 "," 5.30"
"114 "," 254.46 "," 288.55 "," 43.25 "," 59.89 "," 85.90 "," 23.50 "," 1013.64 "," 312.29 "," 5.30"
"115 "," 251.54 "," 282.64 "," 42.82 "," 59.35 "," 85.90 "," 23.50 "," 1013.67 "," 312.00 "," 5.29"
"115 "," 245.94 "," 276.05 "," 42.02 "," 56.98 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.29"
"116 "," 250.00 "," 284.29 "," 43.51 "," 59.07 "," 85.90 "," 23.50 "," 1013.67 "," 311.97 "," 5.28"
"117 "," 252.55 "," 284.72 "," 42.90 "," 58.75 "," 85.90 "," 23.50 "," 1013.65 "," 312.19 "," 5.28"
"118 "," 250.44 "," 283.34 "," 43.07 "," 59.48 "," 85.90 "," 23.50 "," 1013.66 "," 312.11 "," 5.28"
"119 "," 250.85 "," 282.72 "," 42.84 "," 60.07 "," 85.90 "," 23.50 "," 1013.67 "," 312.02 "," 5.28"
"120 "," 256.35 "," 289.34 "," 43.38 "," 60.54 "," 85.90 "," 23.50 "," 1013.68 "," 311.96 "," 5.28"
"121 "," 255.53 "," 288.43 "," 43.11 "," 59.42 "," 85.90 "," 23.50 "," 1013.67 "," 312.05 "," 5.28"
"122 "," 254.38 "," 287.01 "," 43.07 "," 59.04 "," 85.90 "," 23.50 "," 1013.66 "," 312.11 "," 5.28"
"122 "," 254.17 "," 285.02 "," 42.67 "," 57.92 "," 85.90 "," 23.50 "," 1013.69 "," 311.88 "," 5.28"
"123 "," 253.26 "," 285.72 "," 42.66 "," 58.34 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.29"
"124 "," 253.05 "," 287.74 "," 42.73 "," 60.14 "," 85.90 "," 23.50 "," 1013.67 "," 312.00 "," 5.29"
"125 "," 251.03 "," 281.20 "," 42.36 "," 58.03 "," 85.90 "," 23.50 "," 1013.66 "," 312.06 "," 5.28"
"126 "," 256.31 "," 288.22 "," 43.39 "," 59.65 "," 85.90 "," 23.50 "," 1013.66 "," 312.07 "," 5.28"
"127 "," 251.08 "," 283.67 "," 42.52 "," 58.45 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.28"
"128 "," 256.95 "," 287.47 "," 42.71 "," 59.65 "," 85.90 "," 23.50 "," 1013.67 "," 312.01 "," 5.28"
"129 "," 256.31 "," 289.23 "," 43.22 "," 59.72 "," 85.90 "," 23.50 "," 1013.67 "," 311.99 "," 5.28"
"129 "," 256.42 "," 287.15 "," 42.98 "," 59.36 "," 85.90 "," 23.50 "," 1013.67 "," 312.02 "," 5.28"
"130 "," 248.81 "," 279.52 "," 42.08 "," 57.31 "," 85.80 "," 23.40 "," 1013.68 "," 311.94 "," 5.28"
"131 "," 252.15 "," 283.91 "," 42.78 "," 58.81 "," 85.80 "," 23.40 "," 1013.69 "," 311.83 "," 5.28"
"132 "," 247.81 "," 290.49 "," 43.75 "," 59.57 "," 85.80 "," 23.40 "," 1013.67 "," 312.04 "," 5.28"
"133 "," 251.05 "," 283.48 "," 43.03 "," 59.16 "," 85.90 "," 23.50 "," 1013.69 "," 311.80 "," 5.28"
"134 "," 250.68 "," 281.73 "," 42.91 "," 58.99 "," 85.90 "," 23.50 "," 1013.66 "," 312.12 "," 5.28"
"135 "," 253.89 "," 285.88 "," 42.87 "," 59.15 "," 85.90 "," 23.50 "," 1013.68 "," 311.89 "," 5.28"
"136 "," 255.01 "," 288.23 "," 43.04 "," 59.14 "," 86.00 "," 23.50 "," 1013.69 "," 311.83 "," 5.29"
"136 "," 254.75 "," 286.95 "," 43.05 "," 58.93 "," 86.00 "," 23.50 "," 1013.68 "," 311.95 "," 5.28"
"137 "," 253.05 "," 284.72 "," 42.91 "," 58.53 "," 86.00 "," 23.50 "," 1013.66 "," 312.06 "," 5.28"
"138 "," 250.67 "," 283.71 "," 42.13 "," 57.87 "," 86.00 "," 23.50 "," 1013.67 "," 312.00 "," 5.28"
"139 "," 256.81 "," 290.00 "," 43.45 "," 59.84 "," 86.00 "," 23.50 "," 1013.67 "," 312.02 "," 5.28"
"140 "," 255.01 "," 287.39 "," 43.00 "," 58.98 "," 86.00 "," 23.50 "," 1013.67 "," 312.03 "," 5.28"
"141 "," 256.76 "," 289.57 "," 43.40 "," 59.88 "," 86.00 "," 23.50 "," 1013.67 "," 312.04 "," 5.29"
"142 "," 257.11 "," 291.87 "," 43.61 "," 59.35 "," 86.00 "," 23.50 "," 1013.66 "," 312.05 "," 5.28"
"143 "," 257.66 "," 288.83 "," 43.22 "," 59.19 "," 86.00 "," 23.50 "," 1013.67 "," 312.04 "," 5.28"
"143 "," 256.29 "," 295.50 "," 43.68 "," 59.58 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.29"
"144 "," 259.26 "," 294.24 "," 43.49 "," 59.71 "," 85.90 "," 23.50 "," 1013.68 "," 311.94 "," 5.29"
"145 "," 253.29 "," 289.98 "," 43.18 "," 59.75 "," 85.90 "," 23.50 "," 1013.67 "," 312.18 "," 5.30"
"146 "," 255.38 "," 288.08 "," 43.02 "," 59.06 "," 86.00 "," 23.50 "," 1013.67 "," 312.03 "," 5.30"
"147 "," 248.60 "," 278.13 "," 41.80 "," 57.10 "," 86.00 "," 23.50 "," 1013.64 "," 312.24 "," 5.29"
"148 "," 256.08 "," 287.24 "," 43.19 "," 59.21 "," 86.00 "," 23.50 "," 1013.67 "," 312.04 "," 5.29"
"149 "," 263.11 "," 298.31 "," 44.48 "," 61.52 "," 85.80 "," 23.40 "," 1013.68 "," 311.93 "," 5.30"
"149 "," 252.13 "," 283.67 "," 42.47 "," 58.68 "," 85.80 "," 23.40 "," 1013.67 "," 311.97 "," 5.30"
"150 "," 254.39 "," 288.41 "," 42.99 "," 58.90 "," 85.80 "," 23.40 "," 1013.66 "," 312.05 "," 5.30"
"151 "," 253.65 "," 284.71 "," 43.04 "," 59.72 "," 85.80 "," 23.40 "," 1013.68 "," 311.89 "," 5.30"
"152 "," 254.14 "," 285.43 "," 42.29 "," 58.04 "," 85.80 "," 23.40 "," 1013.66 "," 312.06 "," 5.30"
"153 "," 251.57 "," 281.26 "," 41.98 "," 57.45 "," 85.80 "," 23.40 "," 1013.66 "," 312.10 "," 5.30"
"154 "," 252.57 "," 283.18 "," 42.16 "," 57.92 "," 85.90 "," 23.50 "," 1013.70 "," 311.76 "," 5.30"
"155 "," 263.82 "," 299.04 "," 44.58 "," 61.77 "," 85.90 "," 23.50 "," 1013.68 "," 311.94 "," 5.30"
"156 "," 258.38 "," 290.91 "," 43.27 "," 59.91 "," 85.90 "," 23.50 "," 1013.67 "," 312.04 "," 5.30"
"156 "," 252.64 "," 284.15 "," 42.85 "," 58.83 "," 86.00 "," 23.50 "," 1013.66 "," 312.11 "," 5.30"
"157 "," 259.02 "," 293.64 "," 43.40 "," 59.78 "," 86.00 "," 23.50 "," 1013.67 "," 312.00 "," 5.30"
"158 "," 257.20 "," 287.56 "," 42.91 "," 58.71 "," 86.00 "," 23.50 "," 1013.66 "," 312.10 "," 5.29"
"159 "," 255.23 "," 285.99 "," 42.78 "," 59.17 "," 85.80 "," 23.40 "," 1013.65 "," 312.14 "," 5.29"
"160 "," 266.79 "," 301.04 "," 44.72 "," 61.98 "," 85.80 "," 23.40 "," 1013.65 "," 312.14 "," 5.30"
"161 "," 269.22 "," 302.96 "," 44.94 "," 62.04 "," 85.80 "," 23.40 "," 1013.67 "," 312.01 "," 5.31"
"162 "," 271.96 "," 307.00 "," 44.70 "," 62.98 "," 86.00 "," 23.50 "," 1013.67 "," 312.05 "," 5.32"
"163 "," 273.56 "," 308.00 "," 44.77 "," 63.03 "," 86.00 "," 23.50 "," 1013.64 "," 312.24 "," 5.32"
"163 "," 274.98 "," 307.19 "," 44.77 "," 62.97 "," 86.00 "," 23.50 "," 1013.65 "," 312.21 "," 5.32"
"164 "," 276.12 "," 308.95 "," 44.81 "," 63.08 "," 86.00 "," 23.50 "," 1013.67 "," 312.02 "," 5.33"
"165 "," 277.92 "," 310.37 "," 44.78 "," 63.06 "," 86.00 "," 23.50 "," 1013.67 "," 312.01 "," 5.35"
"166 "," 279.07 "," 308.75 "," 44.89 "," 63.30 "," 86.00 "," 23.50 "," 1013.65 "," 312.18 "," 5.35"
"167 "," 279.91 "," 310.03 "," 44.79 "," 63.08 "," 86.00 "," 23.50 "," 1013.66 "," 312.08 "," 5.36"
"168 "," 280.65 "," 308.99 "," 44.82 "," 63.19 "," 86.00 "," 23.50 "," 1013.66 "," 312.13 "," 5.37"
"169 "," 281.11 "," 308.68 "," 44.88 "," 63.17 "," 86.00 "," 23.50 "," 1013.65 "," 312.20 "," 5.37"
"170 "," 281.89 "," 308.06 "," 44.79 "," 63.19 "," 86.00 "," 23.50 "," 1013.66 "," 312.11 "," 5.38"
"170 "," 282.06 "," 307.94 "," 44.85 "," 63.20 "," 86.00 "," 23.50 "," 1013.67 "," 312.01 "," 5.39"
"171 "," 282.04 "," 306.94 "," 44.74 "," 63.06 "," 86.00 "," 23.50 "," 1013.65 "," 312.15 "," 5.39"
"172 "," 282.21 "," 306.85 "," 44.86 "," 63.11 "," 85.90 "," 23.50 "," 1013.63 "," 312.36 "," 5.40"
"173 "," 282.66 "," 306.03 "," 44.78 "," 63.02 "," 85.90 "," 23.50 "," 1013.66 "," 312.11 "," 5.41"
"174 "," 282.97 "," 305.98 "," 44.87 "," 63.09 "," 85.90 "," 23.50 "," 1013.65 "," 312.14 "," 5.42"
"175 "," 283.02 "," 305.50 "," 44.85 "," 63.05 "," 85.90 "," 23.50 "," 1013.67 "," 312.05 "," 5.43"
"176 "," 283.07 "," 305.18 "," 44.83 "," 63.16 "," 85.90 "," 23.50 "," 1013.66 "," 312.09 "," 5.43"
"177 "," 283.26 "," 305.01 "," 44.78 "," 63.05 "," 85.90 "," 23.50 "," 1013.69 "," 311.86 "," 5.44"
